,0
236,319302906
237,245666898
238,260041417
239,65795020
240,159893028
241,31699206
242,292941044
243,314789370
244,306989057
245,314489850
246,269368534
247,256142574
248,277669696
249,298585479
250,303389945
251,301372059
252,309559793
253,304800141
254,314024631
255,306780440
256,317243381
257,313589623
258,317722728
259,319091127
260,166392184
261,286122776
262,281664747
263,271826270
264,27258854
265,25875649
266,35121146
267,273080547
268,54627945
269,314634664
270,269807288
271,260654945
272,250936100
273,184769431
274,315217033
275,283858123
276,315412116
277,280910989
278,314951304
279,317381536
280,190026110
281,116399964
282,314645339
283,317287201
284,292516613
285,318391869
286,319380517
287,318677508
288,319684336
289,319394334
290,310166255
291,285279674
292,304934976
293,249297227
294,299820325
295,305952752
296,303423312
297,4561580
298,304705354
299,301693389
300,294897111
301,267858922
302,298436020
303,657808
304,220663743
305,313986947
306,237278956
307,294405412
308,192891668
309,310105140
310,265491599
311,176659275
312,296815566
313,311139756
314,289992395
315,302944708
316,296452951
317,152552521
318,313590041
319,305392543
320,313741793
321,310626420
322,313370649
323,315551616
324,6585623
325,124171539
326,314660470
327,316786523
328,316309630
329,288521460
330,317736536
331,317863630
332,318167036
333,318363148
334,164486821
335,318921757
336,313370134
337,280071727
338,294641551
339,291328350
340,303358256
341,127272282
342,305013396
343,115929
344,290848034
345,4244281
346,308820720
347,31592457
348,234791
349,162017340
350,310883870
351,295027739
352,147125127
353,297986393
354,312915201
355,303269
356,291467081
357,310359289
358,295050957
359,314669874
360,43342252
361,119458836
362,301476849
363,299437819
364,301372358
365,298729025
366,311870536
367,315040384
368,315211298
369,315990194
370,317061796
371,315318400
372,318437688
373,264119179
374,2335022
375,314774745
376,318921266
377,102222286
378,318776355
379,319545995
380,319106502
381,302963375
382,291329225
383,226929067
384,297630603
385,310981814
386,69329088
387,268213890
388,39859907
389,3288556
390,223735674
391,265563867
392,285282090
393,216841525
394,251168867
395,311322551
396,265497053
397,275623542
398,297112427
399,313175162
400,242492448
401,313736009
402,296535906
403,158428150
404,1953651
405,6948622
406,313735302
407,253652761
