,0
750,313270284
751,312727863
752,276164609
753,313209224
754,303096724
755,198763387
756,303736753
757,257839947
758,307864624
759,264268653
760,151335833
761,276878546
762,279764887
763,18253009
764,314048887
765,316494255
766,311523730
767,315608349
768,316496028
769,275692163
770,313976402
771,172280128
772,267629837
773,249249847
774,315295277
775,268207191
776,309202409
777,295074691
778,313801676
779,317906576
780,317255859
781,307080814
782,283289028
783,317337987
784,295221853
785,1966258
786,124081967
787,315374481
788,307684406
789,306827601
790,89474689
791,314578728
792,317217709
793,296380151
794,313565369
795,175917975
796,280328308
797,267443772
798,317245184
799,316429984
800,163475093
801,315822650
802,302680317
803,318677030
804,318168830
805,316796355
806,313534589
807,319756337
808,318396107
809,315213937
810,317379519
811,317817391
812,319601565
813,319331692
814,319095376
815,319375406
816,319301378
817,318917153
818,855310
819,20791771
820,98605868
821,253064969
822,648265
823,290839970
824,294987720
825,6510869
826,284613497
827,304354
828,48822212
829,303333915
830,234661516
831,304082623
832,54953575
833,99502447
834,25244925
835,6157105
836,292185112
837,258991832
838,297330031
839,2462935
840,1022719
841,271368905
842,234196027
843,256890451
844,16995139
845,95487693
846,306778106
847,246228473
848,255228329
849,2359273
850,268986059
851,286675794
852,276599355
853,27904047
854,189796678
855,297273308
856,34713052
857,20574435
858,288585158
859,295317677
860,15547157
861,243093159
862,309556431
863,4126438
864,381600
865,33558938
866,167547558
867,202034916
868,289320470
869,502405
870,274955393
871,67581309
872,272569881
873,189874596
874,6727930
875,11458275
876,295656423
877,307223037
878,317532081
879,222677445
880,308121137
881,284078145
882,289143042
883,65362553
884,45834844
885,61657129
886,296390563
887,7319432
888,216823070
889,300430521
890,282617330
891,11918654
892,36547196
893,277955417
894,305399283
895,128485660
896,187139612
897,265658321
898,195990950
899,26154597
900,175558727
901,288859723
902,153373132
903,64012694
904,153737664
905,20625393
906,267863
907,302767184
908,241119938
909,305177332
910,93298295
911,275940050
912,40711053
913,310562546
914,265497915
915,20457987
916,133779316
917,304366988
918,243223468
919,296880493
920,313131719
921,83565533
922,291542587
923,45060207
924,32781696
925,307011774
926,166282809
927,297899187
928,188279766
929,288731881
930,283860966
